#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ML097515a-PA         -          KOG1836              -           2.6e-144  482.4 235.8   5.4e-58  196.4  16.6  10.1   4   4   4   8   8   8   7 -
ML05951a-PA          -          KOG1836              -           2.1e-102  343.5 247.5     1e-49  168.9  46.5   8.6   2   2   7   9   9   9   8 -
ML101022a-PA         -          KOG1836              -            1.1e-98  331.3 728.1   7.3e-10   36.8  60.3  27.5   3   2  23  26  26  26  24 -
ML21866a-PA          -          KOG1836              -            1.7e-86  290.8 246.5   2.2e-32  111.4  52.0   7.9   3   3   3   6   6   6   6 -
ML04798a-PA          -          KOG1836              -            2.9e-59  200.6 105.8   5.3e-19   67.1   7.2   7.1   1   1   2   4   4   4   4 -
ML035910a-PA         -          KOG1836              -            7.1e-48  162.8 146.5   2.4e-40  137.9  53.8   5.4   1   1   3   5   5   5   4 -
ML044119a-PA         -          KOG1836              -            5.5e-45  153.2  21.7   6.2e-11   40.4   0.1   7.6   3   3   4   8   8   6   6 -
ML20591a-PA          -          KOG1836              -            3.7e-25   87.5  83.8   5.6e-13   47.1  46.2   3.0   1   1   2   3   3   3   3 -
ML004921a-PA         -          KOG1836              -            1.3e-18   65.9   0.0   1.3e-18   65.9   0.0  17.1   7   2  12  20  20   2   1 -
ML141745a-PA         -          KOG1836              -            1.5e-12   45.7  91.2   1.3e-10   39.3  40.2   3.2   2   1   1   3   3   3   3 -
ML04262a-PA          -          KOG1836              -              2e-09   35.4 107.1   4.3e-06   24.3  39.4   7.2   3   2   4   7   7   4   4 -
ML24144a-PA          -          KOG1836              -            1.4e-08   32.6   4.1   6.5e-06   23.7   2.1   8.6   2   2   5   8   8   3   2 -
ML24001a-PA          -          KOG1836              -            2.4e-08   31.8  23.4   2.4e-08   31.8  23.4   3.9   3   2   1   4   4   3   1 -
ML020038a-PA         -          KOG1836              -              3e-08   31.5  20.3     3e-08   31.5  20.3   3.5   2   1   1   3   3   3   2 -
ML16901a-PA          -          KOG1836              -            3.4e-08   31.3   0.2    0.0052   14.1   0.1   3.0   2   1   1   3   3   3   2 -
ML13913a-PA          -          KOG1836              -            3.6e-08   31.2  10.9   4.5e-08   30.9  10.9   1.0   1   0   0   1   1   1   1 -
ML046712a-PA         -          KOG1836              -            6.9e-08   30.3  28.0   6.9e-08   30.3  28.0   4.5   3   2   2   5   5   5   2 -
ML04799a-PA          -          KOG1836              -            5.2e-07   27.4   0.0   1.7e-06   25.7   0.0   1.7   1   1   1   2   2   2   1 -
ML258254a-PA         -          KOG1836              -              6e-07   27.2  45.9     6e-07   27.2  45.9   2.6   2   0   0   2   2   1   1 -
ML00872a-PA          -          KOG1836              -            7.1e-07   26.9  29.1   7.1e-07   26.9  29.1   4.4   4   1   1   5   5   4   1 -
ML07112a-PA          -          KOG1836              -            1.3e-06   26.0  20.4   1.3e-06   26.0  20.4   2.1   1   1   1   2   2   2   1 -
ML30814a-PA          -          KOG1836              -            1.8e-06   25.6  26.6   1.8e-06   25.6  26.6   3.8   3   2   1   4   4   3   1 -
ML120750a-PA         -          KOG1836              -              2e-06   25.4  27.8     2e-06   25.4  27.8   3.3   3   1   1   4   4   4   1 -
ML037014a-PA         -          KOG1836              -            1.8e-05   22.2  15.7   2.3e-05   21.9  15.7   1.0   1   0   0   1   1   1   1 -
ML064933a-PA         -          KOG1836              -            2.3e-05   21.9   1.0   2.7e-05   21.6   1.0   1.1   1   0   0   1   1   1   1 -
ML029910a-PA         -          KOG1836              -            0.00032   18.1   2.8   0.00036   17.9   2.8   1.1   1   0   0   1   1   1   1 -
ML037013a-PA         -          KOG1836              -             0.0012   16.3  10.0    0.0015   15.9  10.0   1.1   1   0   0   1   1   1   1 -
ML25996a-PA          -          KOG1836              -             0.0012   16.2   2.9    0.0012   16.2   2.9   1.1   1   0   0   1   1   1   1 -
ML167036a-PA         -          KOG1836              -             0.0022   15.3  41.2   0.00041   17.8  22.5   2.4   1   1   1   2   2   2   1 -
ML09845a-PA          -          KOG1836              -              0.003   14.9   0.0    0.0053   14.1   0.0   1.5   1   1   0   1   1   1   1 -
ML44903a-PA          -          KOG1836              -             0.0033   14.8  10.9    0.0055   14.0  10.9   1.3   1   0   0   1   1   1   1 -
ML016345a-PA         -          KOG1836              -             0.0034   14.7   0.2    0.0034   14.7   0.2   2.9   2   1   0   3   3   2   1 -
ML01833a-PA          -          KOG1836              -             0.0034   14.7   6.3     0.004   14.5   6.3   1.1   1   0   0   1   1   1   1 -
ML013612a-PA         -          KOG1836              -             0.0056   14.0   0.0     0.007   13.7   0.0   1.0   1   0   0   1   1   1   1 -
ML34636a-PA          -          KOG1836              -             0.0073   13.6   5.4    0.0074   13.6   5.4   1.1   1   0   0   1   1   1   1 -
ML02594a-PA          -          KOG1836              -             0.0077   13.5 186.1      0.14    9.4  24.9   6.0   1   1   5   6   6   6   3 -
ML305512a-PA         -          KOG1836              -             0.0079   13.5  18.0     0.014   12.7  18.0   1.3   1   0   0   1   1   1   1 -
ML017919a-PA         -          KOG1836              -             0.0083   13.4   2.2     0.011   13.0   2.2   1.2   1   0   0   1   1   1   1 -
ML105413a-PA         -          KOG1836              -              0.011   13.0  22.0     0.023   12.0  22.0   1.4   1   0   0   1   1   1   0 -
ML021132a-PA         -          KOG1836              -              0.012   12.9  29.5     0.018   12.3  29.5   1.1   1   0   0   1   1   1   0 -
ML070273a-PA         -          KOG1836              -              0.013   12.8   2.6     0.014   12.7   2.6   1.0   1   0   0   1   1   1   0 -
ML015719a-PA         -          KOG1836              -              0.014   12.6   7.7     0.016   12.5   7.7   1.1   1   0   0   1   1   1   0 -
ML002120a-PA         -          KOG1836              -              0.017   12.4   3.6     0.021   12.1   3.6   1.0   1   0   0   1   1   1   0 -
ML03446a-PA          -          KOG1836              -              0.021   12.1   2.5     0.024   11.9   2.5   1.1   1   0   0   1   1   1   0 -
ML017712a-PA         -          KOG1836              -              0.024   11.9   1.2     0.026   11.8   1.2   1.0   1   0   0   1   1   1   0 -
ML15511a-PA          -          KOG1836              -              0.025   11.9   0.2     0.022   12.0   0.2   1.0   1   0   0   1   1   1   0 -
ML32996a-PA          -          KOG1836              -              0.031   11.5   6.5      0.04   11.2   6.5   1.1   1   0   0   1   1   1   0 -
